i,singular_value,energy_ratio,cum_energy
91,0.9800213526629629,0.004477276124248433,0.6627856708975223
92,0.9767418860049634,0.004447361448251066,0.6672330323457734
93,0.9697080308950613,0.004383538119048171,0.6716165704648216
94,0.9653348310719001,0.004344089417414889,0.6759606598822364
95,0.9652577071242282,0.0043433953164032195,0.6803040551986396
96,0.9626888301521882,0.004320307593839179,0.6846243627924788
97,0.9621030778555864,0.004315051772582471,0.6889394145650612
98,0.9568605579820321,0.004268154278932218,0.6932075688439935
99,0.9530300636016436,0.0042340502154150144,0.6974416190594086
100,0.9522534583753559,0.00422715254048801,0.7016687715998966
101,0.9497650132309895,0.004205088471606278,0.7058738600715029
102,0.9480929619432116,0.004190295476735243,0.7100641555482381
103,0.94405482223858,0.0041546766839369335,0.7142188322321751
104,0.9423269490843028,0.00413948225959535,0.7183583144917706
105,0.940004761498567,0.004119105446570186,0.7224774199383408
106,0.9393488182240435,0.004113358759061377,0.7265907786974021
107,0.9343549807020087,0.004069739513645016,0.7306605182110472
108,0.9320689427391022,0.004049849433479218,0.7347103676445264
109,0.9300621972394428,0.004032429545284054,0.7387427971898104
110,0.9274145325756182,0.004009503499054724,0.7427523006888651
111,0.9224925463659462,0.003967057856771582,0.7467193585456368
112,0.9210447760296988,0.003954615736041341,0.7506739742816781
113,0.9182055503962684,0.003930272206187528,0.7546042464878657
114,0.9160485568693494,0.003911828374733725,0.7585160748625994
115,0.9120288052058865,0.0038775723789079754,0.7623936472415075
116,0.9084334081961218,0.0038470603333192696,0.7662407075748267
117,0.9077370292240332,0.003841164501947366,0.770081872076774
118,0.9041908636812759,0.0038112113369404748,0.7738930834137145
119,0.9000253404799871,0.0037761764323126046,0.7776692598460271
120,0.8977901215715491,0.0037574434045532373,0.7814267032505803
121,0.8938690875103407,0.0037246943456828692,0.7851513975962632
122,0.8899167945309994,0.0036918292685377855,0.7888432268648009
123,0.8892220648687095,0.003686067331739111,0.7925292941965401
124,0.8840461757101987,0.003643281280586681,0.7961725754771267
125,0.8813891483755637,0.0036214142084749954,0.7997939896856018
126,0.8771257147292767,0.0035864641139692357,0.803380453799571
127,0.873471655074326,0.003556644315251801,0.8069370981148228
128,0.8676449258077185,0.0035093514644825275,0.8104464495793053
129,0.8660898791276898,0.0034967833855093456,0.8139432329648147
130,0.8635165043282255,0.0034760345787508222,0.8174192675435656
131,0.859551592789245,0.003444186829405458,0.8208634543729711
132,0.8581420397757056,0.0034329000529652494,0.8242963544259364
133,0.8555576314151861,0.003412253923158427,0.8277086083490948
134,0.849345323025193,0.0033628802460081006,0.8310714885951029
135,0.8490767597153216,0.0033607538942463425,0.8344322424893493
136,0.8457692014365353,0.0033346214194190614,0.8377668639087683
137,0.8435947762838958,0.0033174972113778926,0.8410843611201462
138,0.840384808286723,0.003292298384229204,0.8443766595043753
139,0.8383553847751819,0.0032764166114259913,0.8476530761158014
140,0.8330874437182609,0.0032353701960268115,0.8508884463118283
141,0.8306179666277582,0.0032162177506108907,0.8541046640624392
142,0.8294656613298992,0.0032073003079004384,0.8573119643703397
143,0.8230255794135426,0.0031576898357322633,0.860469654206072
144,0.8195674769523074,0.003131210283165565,0.8636008644892376
145,0.8176394149978006,0.0031164950430873327,0.866717359532325
146,0.8167265386124543,0.0031095399318196086,0.8698268994641446
147,0.814995225694377,0.003096370577616571,0.8729232700417611
